fullpath,iliac_artery_left,iliac_artery_right,pulmonary_artery,aorta,kidney_left,kidney_right,heart_myocardium,heart_atrium_left,heart_atrium_right,heart_ventricle_left,heart_ventricle_right,portal_vein_and_splenic_vein,liver,urinary_bladder,inferior_vena_cava,iliac_vena_left,iliac_vena_right,iliac_artery_left.1,iliac_artery_right.1,pulmonary_artery.1,aorta.1,kidney_left.1,kidney_right.1,heart_myocardium.1,heart_atrium_left.1,heart_atrium_right.1,heart_ventricle_left.1,heart_ventricle_right.1,portal_vein_and_splenic_vein.1,liver.1,urinary_bladder.1,inferior_vena_cava.1,iliac_vena_left.1,iliac_vena_right.1,GT
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00014_19_2X1_STND_Body_2__resized.nii.gz,375.13,366.32,138.21,352.89,150.46,156.27,108.71,245.56,129.33,218.13,137,134.96,72.55,12.27,97.47,47.04,45.49,128.6444829,102.3304263,17.40193636,77.06783795,61.40099442,61.35852701,58.79687307,42.71494198,83.69805341,63.98537426,34.07635377,63.16198371,17.29008858,19.54363592,36.337001,22.68349943,29.80865764,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00015_16_5X5_AXIAL_Body_5__resized.nii.gz,311.9,294.86,85.88,319.87,116.34,101.74,77.99,161.6,67.28,179.08,84.99,47.63,54.95,21.85,57.97,33.4,34.44,153.9660695,135.2250541,17.53976427,86.72366214,47.75952802,55.20723153,74.056814,24.26361782,124.5763226,40.60901559,39.76318756,27.65498601,16.4965354,23.60358684,28.63501037,40.14655305,34.90711357,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00015_17_2X1_LUNG_Lung_2__resized.nii.gz,399.1,388.55,92.31,320.94,132.17,115.17,87.71,167.31,75.3,181.47,88.05,69.99,57.51,24.22,60.86,36.11,38.16,218.8178399,209.3329902,20.21367124,118.5335657,68.49855313,75.32972459,66.9084808,31.09711321,133.798147,49.6791983,48.06543628,44.57462706,25.32388114,35.56380844,36.62169275,41.40068208,42.9870084,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00016_12_2X1_LUNG_Lung_2__resized.nii.gz,110.09,110.73,118.98,124.31,141.75,144.4,60.99,125.88,131.61,123.9,124.75,166.64,106.94,16.962,113.45,88.71,90.97,30.30525116,29.48843703,27.10931778,46.74337913,49.20599752,47.26585335,136.3943314,23.36664911,42.9129799,18.18229525,32.07303126,39.12937195,23.71852167,21.71832044,34.67036382,25.28244157,22.80763176,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00016_4_5X5_STND_CTA_5__resized.nii.gz,93.81,93.11,107.77,116.1,132.67,136.02,50.62,120.13,123.74,122.11,120.71,146.87,105.8,19.36,110.09,80.36,83.45,23.62061938,21.52190826,25.74358186,49.6519761,32.03706084,29.15116532,124.9955766,18.80575731,45.964456,11.64080987,30.59112558,20.07203339,15.51518559,21.5197246,29.38625171,17.38267642,12.7259801,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00016_5_1X1_STND_Body_1__resized.nii.gz,103.67,106.2,115.68,119.31,139.94,142.82,59.26,123.37,128.16,121.98,122.92,164.44,105.97,19.084,110.68,83.58,85.54,26.90622153,24.22497966,26.57252587,48.28205463,45.02927917,42.8938186,130.5665795,20.0053173,44.0855456,14.36644398,29.71842992,33.43838053,18.48947579,22.79230351,31.14099446,19.09946895,15.74467716,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00016_6_2X1_STND_CTA_2__resized.nii.gz,103.73,105.79,115.24,119.44,140.19,143.11,58.39,123.5,127.99,122.22,122.99,164.45,106.27,16.962,111.01,83.8,85.75,26.31065902,23.88252797,26.69508944,47.76820535,43.9943307,41.78404746,131.211274,19.81245769,44.08283422,13.92823375,29.62795013,32.51608382,18.01585512,21.71832044,30.69782431,18.54725349,15.0626746,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00017_17_2X1_LUNG_Lung_2__resized.nii.gz,457.33,444.65,297.78,469.5,221.2,221.51,103.99,475.29,183.23,371.72,199.28,83.99,57.34,25.08,104.18,46.51,48.95,195.5012707,191.5981095,85.13775494,125.1696837,90.33706039,89.28826202,88.18183388,66.49902928,154.4059954,128.3802418,98.29996208,65.06357728,33.21935245,40.67954015,61.53692688,38.07219414,32.40103188,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00017_19_2X1_STND_Body_2__resized.nii.gz,461.56,449,306.59,493.22,224.35,224.79,101,518.81,181.83,399.72,203.59,78.67,56.01,23.76,99.97,42.28,45.15,180.6978877,173.686039,86.51071698,130.3848388,85.05392037,84.00017284,86.27373567,67.32770265,150.1160831,142.3740821,96.03021241,49.76294362,21.07246689,31.80298525,55.36123978,29.88778377,22.81541812,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00018_5_1X1_STND_Body_1__resized.nii.gz,220.68,223.41,224.33,266.75,118.91,117.03,73.24,257.36,172.52,238.97,177.52,95.82,58.77,12.68,53.63,38.6,39.68,80.02915123,75.71392878,52.8756743,58.31996527,42.67588076,41.39036787,98.02070773,52.633338,191.6756611,59.29654991,77.22108779,36.45375635,17.58298298,20.06008577,28.60820188,29.04229378,27.75206048,1
